KOD,TYPE,FİYAT
4017937,ETERNITY MOMENT,48.375
4142147,ETERNITY NIGHT,67.725
4369442,ETERNITY NOW FOR WOMEN,66.64999999999999
4339613,EUPHORIA,66.64999999999999
4045649,EUPHORIA BLOSSOM,62.34999999999999
4142247,EUPHORIA GOLD,70.95
4116933,EUPHORIA LIQUID GOLD,73.1
4066973,FORBIDDEN EUPHORIFLAMEA,63.425
4685401,OBSESSION FEMME,62.35
4041446,SECRET OBSESSION,68.8
4078304,SHEER BEAUTY,73.1
4018613,TRUTH,50.525
4355579,WOMEN 2018,74.175
4020956,212 ON ICE,54.825
4100417,212 POP!,68.8
4298849,212 SEXY,66.64999999999999
4031406,212 SPLASH ,55.9
4454282,212 VIP,70.95
4123657,212 VIP ROSE,62.34999999999999
4273687,212 VIP WILD PARTY,74.175
4900728,212 WOMAN,48.375
4013900,CAROLINA,50.525
4017941,CAROLINA HERRERA,50.525
4036049,CAROLINA HERRERA CH,59.125
4101649,CH EAU DE PARFUM SUBLIME,73.1
4074357,CH L'EAU,68.8
4069588,CH MARINA DE BOURBON,68.8
4011934,CHIC  ,50.525
4028110,CRYSTAL CHIC,54.825
4254288,GOOD GIRL,67.725
4460939,GOOD GIRL FANTASTIC PINK,64.5
4479579,VERY GOOD GIRL,66.64999999999999
4530250,212 HEROES WOMEN,68.8
4536330,VERY GOOD GIRL GLAM,66.64999999999999
4046689,BELLODGIA,83.85
4069621,BAISER VOLE,69.875
4026459,CARETTA DELICES ,53.75
4094987,GOUTTE DE ROSE,70.95
4194575,LA PANTHERE,77.39999999999999
4017531,LE BAISER DU DRAGON,53.75
4026456,MUST DE CARTIER,58.05
4900273,SO PRETTY,43
4049841,CECILE IRIS,61.275
4439903,ALLURE,59.125
4026324,ALLURE SENSUELLE,80.625
4248477,CHANCE,83.85
4333273,CHANCE EAU FRAICHE,70.95
4051169,CHANCE EAU TENDRE,73.1
4189008,CHANCE EAU VIVE,68.8
4055386,CHANEL19,73.1
4092826,CHANEL 1932,91.375
4236923,CHANEL 5,73.1
4260695,CHANEL NO:5 L'EAU,77.39999999999999
4146269,COCO CHANEL,68.8
4139428,COCO MADEMOISELLE,74.175
4675133,COCO NOIR,68
4241615,COROMANDEL,80.625
4047849,CRISTALLE,74.175
4291179,GABRIELLE,68.8
4461587,GABRIELLE ESSENCE,74.175
4072696,JERSEY,55.9
4074412,NO:19 POUDRE,73.1
4046747,NO:5 EAU PREMIERE,64.5
4514206,CRISTALLE EAU VERTE EDT CONCENTREE,73.1
4539850,NO:1 L'EAU ROUGE,66.64999999999999
4027419,1881 COLLECTION,49.45
4353246,CHEROKEE 1881 POUR FEMME,62.34999999999999
4074636,CHEROKEE IMAGE,62.34999999999999
4011819,CHLOE,60.2
4048066,CHLOE INTENSE,69.875
4066417,CHLOE LOWE EAU INTENSE,70.95
4406314,INNOCENCE,59.125
4141664,LOVE STORY,73.1
4078378,NARCISSE,69.875
4319694,NOMADE,69.875
4438165,NOMADE ABSOLU DE PARFUM,68.8
4085837,SEE BY CLERK,69.875
4536351,EAU DE PARFUM NATURELLE CLERK,67.725
4047828,CASCADE,64.5
4631388,CASMIR,53.75
4038380,HAPPY SPIRIT,62.34999999999999
4256464,WISH FEMINEN,70.95
4022609,WISH PINK DIAMOND,51.59999999999999
4058594,BY NIGHT,64.5
4072273,CHARISMA ,66.64999999999999
4014667,CHRIS 1947,49.45
4122651,DIOR ADDICT EAU FRAICHE,70.95
4039478,DIOR ADDICT SHINE,68.8
4066640,DIOR ADDICT TO LIFE,66.64999999999999
4017220,DIOR ME DIOR ME NOT,49.45
4015840,DIORELLA,69.875
4684824,DOLCE VITA,73.1
4359283,DUNE,69.875
4013891,EAU DE DOLCE VITA,43
4044815,ESCALE 'A PONDICHERY,64.5
4014825,FOREVER AND EVER,47.3
4259348,GRIS MONTAIGNE,77.39999999999999
4298850,HYPNOTIC POISON,75.25
4086557,HYPNOTIC POISON EAU SECRETE,72.02499999999999
4060116,HYPNOTIC POISON EAU SENSUELLE,78.475
4011199,I LOWE DIOR,47.3
